iso_code,continent,location,date,stringency_index,population,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
AFG,Asia,Afghanistan,2020-02-24,8.33,38928341,1,1,,,,,0.026,0.026,,,,,,,,,,,,,
AFG,Asia,Afghanistan,2020-02-25,8.33,38928341,1,0,,,,,0.026,0,,,,,,,,,,,,,
AFG,Asia,Afghanistan,2020-02-26,8.33,38928341,1,0,,,,,0.026,0,,,,,,,,,,,,,
AFG,Asia,Afghanistan,2020-02-27,8.33,38928341,1,0,,,,,0.026,0,,,,,,,,,,,,,
AFG,Asia,Afghanistan,2020-02-28,8.33,38928341,1,0,,,,,0.026,0,,,,,,,,,,,,,
AFG,Asia,Afghanistan,2020-02-29,8.33,38928341,1,0,0.143,,,0,0.026,0,0.004,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-01,27.78,38928341,1,0,0.143,,,0,0.026,0,0.004,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-02,27.78,38928341,1,0,0,,,0,0.026,0,0,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-03,27.78,38928341,2,1,0.143,,,0,0.051,0.026,0.004,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-04,27.78,38928341,4,2,0.429,,,0,0.103,0.051,0.011,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-05,27.78,38928341,4,0,0.429,,,0,0.103,0,0.011,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-06,27.78,38928341,4,0,0.429,,,0,0.103,0,0.011,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-07,27.78,38928341,4,0,0.429,,,0,0.103,0,0.011,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-08,27.78,38928341,5,1,0.571,,,0,0.128,0.026,0.015,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-09,27.78,38928341,7,2,0.857,,,0,0.18,0.051,0.022,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-10,27.78,38928341,8,1,0.857,,,0,0.206,0.026,0.022,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-11,27.78,38928341,11,3,1,,,0,0.283,0.077,0.026,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-12,27.78,38928341,12,1,1.143,,,0,0.308,0.026,0.029,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-13,27.78,38928341,13,1,1.286,,,0,0.334,0.026,0.033,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-14,38.89,38928341,15,2,1.571,,,0,0.385,0.051,0.04,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-15,38.89,38928341,16,1,1.571,,,0,0.411,0.026,0.04,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-16,38.89,38928341,18,2,1.571,,,0,0.462,0.051,0.04,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-17,38.89,38928341,20,2,1.714,,,0,0.514,0.051,0.044,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-18,41.67,38928341,24,4,1.857,,,0,0.617,0.103,0.048,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-19,41.67,38928341,25,1,1.857,,,0,0.642,0.026,0.048,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-20,41.67,38928341,29,4,2.286,,,0,0.745,0.103,0.059,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-21,41.67,38928341,30,1,2.143,,,0,0.771,0.026,0.055,,,0,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-22,41.67,38928341,34,4,2.571,1,1,0.143,0.873,0.103,0.066,0.026,0.026,0.004,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-23,41.67,38928341,41,7,3.286,1,0,0.143,1.053,0.18,0.084,0.026,0,0.004,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-24,50.93,38928341,43,2,3.286,1,0,0.143,1.105,0.051,0.084,0.026,0,0.004,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-25,59.26,38928341,76,33,7.429,2,1,0.286,1.952,0.848,0.191,0.051,0.026,0.007,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-26,59.26,38928341,80,4,7.857,3,1,0.429,2.055,0.103,0.202,0.077,0.026,0.011,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-27,59.26,38928341,91,11,8.857,3,0,0.429,2.338,0.283,0.228,0.077,0,0.011,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-28,67.59,38928341,107,16,11,4,1,0.571,2.749,0.411,0.283,0.103,0.026,0.015,,,,,,,,,
AFG,Asia,Afghanistan,2020-03-29,67.59,38928341,118,11,12,4,0,0.429,3.031,0.283,0.308,0.103,0,0.011,1.46,,,,,,,,
AFG,Asia,Afghanistan,2020-03-30,67.59,38928341,146,28,15,4,0,0.429,3.75,0.719,0.385,0.103,0,0.011,1.47,,,,,,,,
AFG,Asia,Afghanistan,2020-03-31,67.59,38928341,175,29,18.857,4,0,0.429,4.495,0.745,0.484,0.103,0,0.011,1.47,,,,,,,,
AFG,Asia,Afghanistan,2020-04-01,67.59,38928341,197,22,17.286,4,0,0.286,5.061,0.565,0.444,0.103,0,0.007,1.47,,,,,,,,
AFG,Asia,Afghanistan,2020-04-02,67.59,38928341,240,43,22.857,4,0,0.143,6.165,1.105,0.587,0.103,0,0.004,1.47,,,,,,,,
AFG,Asia,Afghanistan,2020-04-03,67.59,38928341,275,35,26.286,8,4,0.714,7.064,0.899,0.675,0.206,0.103,0.018,1.46,,,,,,,,
