location,date,total_cases,new_cases,total_deaths,population
Afghanistan,2020-02-24,1,1,,38928341
Afghanistan,2020-02-25,1,0,,38928341
Afghanistan,2020-02-26,1,0,,38928341
Afghanistan,2020-02-27,1,0,,38928341
Afghanistan,2020-02-28,1,0,,38928341
Afghanistan,2020-02-29,1,0,,38928341
Afghanistan,2020-03-01,1,0,,38928341
Afghanistan,2020-03-02,1,0,,38928341
Afghanistan,2020-03-03,2,1,,38928341
Afghanistan,2020-03-04,4,2,,38928341
Afghanistan,2020-03-05,4,0,,38928341
Afghanistan,2020-03-06,4,0,,38928341
Afghanistan,2020-03-07,4,0,,38928341
Afghanistan,2020-03-08,5,1,,38928341
Afghanistan,2020-03-09,7,2,,38928341
Afghanistan,2020-03-10,8,1,,38928341
Afghanistan,2020-03-11,11,3,,38928341
Afghanistan,2020-03-12,12,1,,38928341
Afghanistan,2020-03-13,13,1,,38928341
Afghanistan,2020-03-14,15,2,,38928341
Afghanistan,2020-03-15,16,1,,38928341
Afghanistan,2020-03-16,18,2,,38928341
Afghanistan,2020-03-17,20,2,,38928341
Afghanistan,2020-03-18,24,4,,38928341
Afghanistan,2020-03-19,25,1,,38928341
Afghanistan,2020-03-20,29,4,,38928341
Afghanistan,2020-03-21,30,1,,38928341
Afghanistan,2020-03-22,34,4,1,38928341
Afghanistan,2020-03-23,41,7,1,38928341
Afghanistan,2020-03-24,43,2,1,38928341
Afghanistan,2020-03-25,76,33,2,38928341
Afghanistan,2020-03-26,80,4,3,38928341
Afghanistan,2020-03-27,91,11,3,38928341
Afghanistan,2020-03-28,107,16,4,38928341
Afghanistan,2020-03-29,118,11,4,38928341
Afghanistan,2020-03-30,146,28,4,38928341
Afghanistan,2020-03-31,175,29,4,38928341
Afghanistan,2020-04-01,197,22,4,38928341
Afghanistan,2020-04-02,240,43,4,38928341
Afghanistan,2020-04-03,275,35,8,38928341
Afghanistan,2020-04-04,300,25,10,38928341
Afghanistan,2020-04-05,338,38,12,38928341
Afghanistan,2020-04-06,368,30,15,38928341
Afghanistan,2020-04-07,424,56,16,38928341
Afghanistan,2020-04-08,445,21,16,38928341
Afghanistan,2020-04-09,485,40,17,38928341
Afghanistan,2020-04-10,532,47,18,38928341
Afghanistan,2020-04-11,556,24,18,38928341
Afghanistan,2020-04-12,608,52,19,38928341
Afghanistan,2020-04-13,666,58,22,38928341
Afghanistan,2020-04-14,715,49,23,38928341
Afghanistan,2020-04-15,785,70,29,38928341
Afghanistan,2020-04-16,841,56,30,38928341
Afghanistan,2020-04-17,907,66,30,38928341
Afghanistan,2020-04-18,934,27,30,38928341
Afghanistan,2020-04-19,997,63,33,38928341
Afghanistan,2020-04-20,1027,30,36,38928341
Afghanistan,2020-04-21,1093,66,36,38928341
Afghanistan,2020-04-22,1177,84,40,38928341
Afghanistan,2020-04-23,1236,59,40,38928341
Afghanistan,2020-04-24,1331,95,43,38928341
Afghanistan,2020-04-25,1464,133,47,38928341
Afghanistan,2020-04-26,1532,68,52,38928341
Afghanistan,2020-04-27,1704,172,58,38928341
Afghanistan,2020-04-28,1830,126,59,38928341
Afghanistan,2020-04-29,1940,110,61,38928341
Afghanistan,2020-04-30,2127,187,64,38928341
Afghanistan,2020-05-01,2291,164,68,38928341
Afghanistan,2020-05-02,2470,179,72,38928341
Afghanistan,2020-05-03,2705,235,85,38928341
Afghanistan,2020-05-04,2895,190,90,38928341
Afghanistan,2020-05-05,3225,330,95,38928341
Afghanistan,2020-05-06,3393,168,104,38928341
Afghanistan,2020-05-07,3564,171,106,38928341
Afghanistan,2020-05-08,3781,217,109,38928341
Afghanistan,2020-05-09,4042,261,115,38928341
Afghanistan,2020-05-10,4403,361,120,38928341
Afghanistan,2020-05-11,4687,284,122,38928341
Afghanistan,2020-05-12,4968,281,127,38928341
Afghanistan,2020-05-13,5227,259,132,38928341
Afghanistan,2020-05-14,5640,413,136,38928341
Afghanistan,2020-05-15,6054,414,153,38928341
Afghanistan,2020-05-16,6403,349,168,38928341
Afghanistan,2020-05-17,6665,262,170,38928341
Afghanistan,2020-05-18,7073,408,173,38928341
Afghanistan,2020-05-19,7654,581,178,38928341
Afghanistan,2020-05-20,8146,492,188,38928341
Afghanistan,2020-05-21,8677,531,194,38928341
Afghanistan,2020-05-22,9219,542,206,38928341
Afghanistan,2020-05-23,10001,782,217,38928341
Afghanistan,2020-05-24,10585,584,219,38928341
Afghanistan,2020-05-25,11176,591,220,38928341
Afghanistan,2020-05-26,11834,658,221,38928341
Afghanistan,2020-05-27,12459,625,228,38928341
Afghanistan,2020-05-28,13039,580,236,38928341
Afghanistan,2020-05-29,13662,623,247,38928341
Afghanistan,2020-05-30,14528,866,250,38928341
Afghanistan,2020-05-31,15208,680,258,38928341
Afghanistan,2020-06-01,15753,545,266,38928341
Afghanistan,2020-06-02,16512,759,274,38928341
Afghanistan,2020-06-03,17270,758,298,38928341
Afghanistan,2020-06-04,18057,787,304,38928341
Afghanistan,2020-06-05,18972,915,313,38928341
Afghanistan,2020-06-06,19554,582,331,38928341
Afghanistan,2020-06-07,20345,791,361,38928341
Afghanistan,2020-06-08,20920,575,373,38928341
Afghanistan,2020-06-09,21462,542,388,38928341
Afghanistan,2020-06-10,22146,684,409,38928341
Afghanistan,2020-06-11,22894,748,430,38928341
Afghanistan,2020-06-12,23550,656,450,38928341
Afghanistan,2020-06-13,24106,556,455,38928341
Afghanistan,2020-06-14,24770,664,475,38928341
Afghanistan,2020-06-15,25531,761,482,38928341
Afghanistan,2020-06-16,26314,783,495,38928341
Afghanistan,2020-06-17,26878,564,508,38928341
Afghanistan,2020-06-18,27536,658,550,38928341
Afghanistan,2020-06-19,27882,346,552,38928341
Afghanistan,2020-06-20,28428,546,573,38928341
Afghanistan,2020-06-21,28837,409,585,38928341
Afghanistan,2020-06-22,29147,310,597,38928341
Afghanistan,2020-06-23,29471,324,617,38928341
Afghanistan,2020-06-24,29705,234,638,38928341
Afghanistan,2020-06-25,30165,460,674,38928341
Afghanistan,2020-06-26,30441,276,682,38928341
Afghanistan,2020-06-27,30606,165,716,38928341
Afghanistan,2020-06-28,30957,351,728,38928341
Afghanistan,2020-06-29,31228,271,740,38928341
Afghanistan,2020-06-30,31507,279,752,38928341
Afghanistan,2020-07-01,31826,319,780,38928341
Afghanistan,2020-07-02,32012,186,809,38928341
Afghanistan,2020-07-03,32314,302,821,38928341
Afghanistan,2020-07-04,32662,348,828,38928341
Afghanistan,2020-07-05,32941,279,866,38928341
Afghanistan,2020-07-06,33180,239,900,38928341
Afghanistan,2020-07-07,33374,194,922,38928341
Afghanistan,2020-07-08,33584,210,939,38928341
Afghanistan,2020-07-09,33898,314,959,38928341
Afghanistan,2020-07-10,34184,286,973,38928341
Afghanistan,2020-07-11,34356,172,996,38928341
Afghanistan,2020-07-12,34441,85,1012,38928341
Afghanistan,2020-07-13,34595,154,1040,38928341
Afghanistan,2020-07-14,34730,135,1064,38928341
Afghanistan,2020-07-15,34984,254,1096,38928341
Afghanistan,2020-07-16,35060,76,1117,38928341
Afghanistan,2020-07-17,35219,159,1149,38928341
Afghanistan,2020-07-18,35279,60,1166,38928341
Afghanistan,2020-07-19,35453,174,1183,38928341
Afghanistan,2020-07-20,35493,40,1185,38928341
Afghanistan,2020-07-21,35605,112,1188,38928341
Afghanistan,2020-07-22,35717,112,1192,38928341
Afghanistan,2020-07-23,35918,201,1213,38928341
Afghanistan,2020-07-24,35978,60,1227,38928341
Afghanistan,2020-07-25,36026,48,1249,38928341
Afghanistan,2020-07-26,36147,121,1261,38928341
Afghanistan,2020-07-27,36253,106,1271,38928341
Afghanistan,2020-07-28,36358,105,1272,38928341
Afghanistan,2020-07-29,36463,105,1273,38928341
Afghanistan,2020-07-30,36532,69,1283,38928341
Afghanistan,2020-07-31,36665,133,1284,38928341
Afghanistan,2020-08-01,36700,35,1285,38928341
Afghanistan,2020-08-02,36701,1,1286,38928341
Afghanistan,2020-08-03,36737,36,1290,38928341
Afghanistan,2020-08-04,36773,36,1290,38928341
Afghanistan,2020-08-05,36820,47,1296,38928341
Afghanistan,2020-08-06,36928,108,1301,38928341
Afghanistan,2020-08-07,37006,78,1310,38928341
Afghanistan,2020-08-08,37046,40,1315,38928341
Afghanistan,2020-08-09,37083,37,1321,38928341
Afghanistan,2020-08-10,37153,70,1329,38928341
Afghanistan,2020-08-11,37260,107,1346,38928341
Afghanistan,2020-08-12,37336,76,1356,38928341
Afghanistan,2020-08-13,37422,86,1365,38928341
Afghanistan,2020-08-14,37497,75,1370,38928341
Afghanistan,2020-08-15,37542,45,1371,38928341
Afghanistan,2020-08-16,37590,48,1376,38928341
Afghanistan,2020-08-17,37667,77,1378,38928341
Afghanistan,2020-08-18,37710,43,1382,38928341
Afghanistan,2020-08-19,37750,40,1384,38928341
Afghanistan,2020-08-20,37852,102,1386,38928341
Afghanistan,2020-08-21,37885,33,1386,38928341
Afghanistan,2020-08-22,37944,59,1386,38928341
Afghanistan,2020-08-23,37990,46,1388,38928341
Afghanistan,2020-08-24,38045,55,1390,38928341
Afghanistan,2020-08-25,38061,16,1398,38928341
Afghanistan,2020-08-26,38103,42,1402,38928341
Afghanistan,2020-08-27,38119,16,1402,38928341
Afghanistan,2020-08-28,38130,11,1403,38928341
Afghanistan,2020-08-29,38133,3,1403,38928341
Afghanistan,2020-08-30,38155,22,1403,38928341
Afghanistan,2020-08-31,38159,4,1403,38928341
Afghanistan,2020-09-01,38193,34,1407,38928341
Afghanistan,2020-09-02,38243,50,1410,38928341
Afghanistan,2020-09-03,38288,45,1410,38928341
Afghanistan,2020-09-04,38304,16,1410,38928341
Afghanistan,2020-09-05,38324,20,1410,38928341
Afghanistan,2020-09-06,38398,74,1413,38928341
Afghanistan,2020-09-07,38494,96,1416,38928341
Afghanistan,2020-09-08,38520,26,1419,38928341
Afghanistan,2020-09-09,38544,24,1421,38928341
Afghanistan,2020-09-10,38572,28,1421,38928341
Afghanistan,2020-09-11,38606,34,1421,38928341
Afghanistan,2020-09-12,38641,35,1421,38928341
Afghanistan,2020-09-13,38716,75,1421,38928341
Afghanistan,2020-09-14,38772,56,1427,38928341
Afghanistan,2020-09-15,38815,43,1428,38928341
Afghanistan,2020-09-16,38855,40,1438,38928341
Afghanistan,2020-09-17,38872,17,1438,38928341
Afghanistan,2020-09-18,38897,25,1439,38928341
Afghanistan,2020-09-19,38919,22,1439,38928341
Afghanistan,2020-09-20,39044,125,1443,38928341
Afghanistan,2020-09-21,39074,30,1446,38928341
Afghanistan,2020-09-22,39096,22,1447,38928341
Afghanistan,2020-09-23,39145,49,1448,38928341
Afghanistan,2020-09-24,39170,25,1453,38928341
Afghanistan,2020-09-25,39186,16,1453,38928341
Afghanistan,2020-09-26,39192,6,1455,38928341
Afghanistan,2020-09-27,39227,35,1455,38928341
Afghanistan,2020-09-28,39239,12,1458,38928341
Afghanistan,2020-09-29,39254,15,1460,38928341
Afghanistan,2020-09-30,39268,14,1460,38928341
Afghanistan,2020-10-01,39285,17,1460,38928341
Afghanistan,2020-10-02,39290,5,1460,38928341
Afghanistan,2020-10-03,39297,7,1464,38928341
Afghanistan,2020-10-04,39341,44,1464,38928341
