location,date,population,total_cases,infected_percentage
United States,2020-01-22,331002647,1,3.0211238763900279e-07
United States,2020-01-23,331002647,1,3.0211238763900279e-07
United States,2020-01-24,331002647,2,6.0422477527800559e-07
United States,2020-01-25,331002647,2,6.0422477527800559e-07
United States,2020-01-26,331002647,5,1.5105619381950139e-06
United States,2020-01-27,331002647,5,1.5105619381950139e-06
United States,2020-01-28,331002647,5,1.5105619381950139e-06
United States,2020-01-29,331002647,6,1.8126743258340168e-06
United States,2020-01-30,331002647,6,1.8126743258340168e-06
United States,2020-01-31,331002647,8,2.4168991011120223e-06
United States,2020-02-01,331002647,8,2.4168991011120223e-06
United States,2020-02-02,331002647,8,2.4168991011120223e-06
United States,2020-02-03,331002647,11,3.3232362640290304e-06
United States,2020-02-04,331002647,11,3.3232362640290304e-06
United States,2020-02-05,331002647,11,3.3232362640290304e-06
United States,2020-02-06,331002647,12,3.6253486516680335e-06
United States,2020-02-07,331002647,12,3.6253486516680335e-06
United States,2020-02-08,331002647,12,3.6253486516680335e-06
United States,2020-02-09,331002647,12,3.6253486516680335e-06
United States,2020-02-10,331002647,12,3.6253486516680335e-06
United States,2020-02-11,331002647,13,3.9274610393070358e-06
United States,2020-02-12,331002647,13,3.9274610393070358e-06
United States,2020-02-13,331002647,14,4.2295734269460393e-06
United States,2020-02-14,331002647,14,4.2295734269460393e-06
United States,2020-02-15,331002647,14,4.2295734269460393e-06
United States,2020-02-16,331002647,14,4.2295734269460393e-06
United States,2020-02-17,331002647,14,4.2295734269460393e-06
United States,2020-02-18,331002647,14,4.2295734269460393e-06
United States,2020-02-19,331002647,14,4.2295734269460393e-06
United States,2020-02-20,331002647,14,4.2295734269460393e-06
United States,2020-02-21,331002647,16,4.8337982022240447e-06
United States,2020-02-22,331002647,16,4.8337982022240447e-06
United States,2020-02-23,331002647,16,4.8337982022240447e-06
United States,2020-02-24,331002647,16,4.8337982022240447e-06
United States,2020-02-25,331002647,16,4.8337982022240447e-06
United States,2020-02-26,331002647,16,4.8337982022240447e-06
United States,2020-02-27,331002647,17,5.1359105898630465e-06
United States,2020-02-28,331002647,17,5.1359105898630465e-06
United States,2020-02-29,331002647,25,7.55280969097507e-06
United States,2020-03-01,331002647,32,9.66759640444809e-06
United States,2020-03-02,331002647,55,1.6616181320145152e-05
United States,2020-03-03,331002647,74,2.2356316685286207e-05
United States,2020-03-04,331002647,107,3.23260254773733e-05
United States,2020-03-05,331002647,184,5.5588679325576508e-05
United States,2020-03-06,331002647,237,7.1600635870443667e-05
United States,2020-03-07,331002647,403,0.00012175129221851812
United States,2020-03-08,331002647,519,0.00015679632918464244
United States,2020-03-09,331002647,594,0.00017945475825756766
United States,2020-03-10,331002647,782,0.00023625188713370014
United States,2020-03-11,331002647,1147,0.0003465229086219362
United States,2020-03-12,331002647,1586,0.00047915024679545844
United States,2020-03-13,331002647,2219,0.00067038738817094714
United States,2020-03-14,331002647,2978,0.0008996906903889503
United States,2020-03-15,331002647,3212,0.000970384989096477
United States,2020-03-16,331002647,4679,0.0014135838617628941
United States,2020-03-17,331002647,6512,0.0019673558683051861
United States,2020-03-18,331002647,9169,0.0027700684822620164
United States,2020-03-19,331002647,13663,0.0041277615523116953
United States,2020-03-20,331002647,20030,0.0060513111244092253
United States,2020-03-21,331002647,26025,0.0078624748883050471
United States,2020-03-22,331002647,34898,0.010543118103825919
United States,2020-03-23,331002647,46136,0.013938257116113031
United States,2020-03-24,331002647,56755,0.017146388560451604
United States,2020-03-25,331002647,68837,0.020796510427906034
United States,2020-03-26,331002647,86693,0.026191029221588068
United States,2020-03-27,331002647,105383,0.031837509746561035
United States,2020-03-28,331002647,125013,0.037767975915914652
United States,2020-03-29,331002647,143912,0.043477597929904167
United States,2020-03-30,331002647,165987,0.050146728887035162
United States,2020-03-31,331002647,192301,0.058096514255367875
United States,2020-04-01,331002647,224560,0.06784235776821447
United States,2020-04-02,331002647,256792,0.0775800442465948
United States,2020-04-03,331002647,289087,0.0873367638053964
United States,2020-04-04,331002647,321477,0.0971221840410237
United States,2020-04-05,331002647,351354,0.10614839584651418
United States,2020-04-06,331002647,382747,0.11563261003166539
United States,2020-04-07,331002647,413516,0.12492830608692987
United States,2020-04-08,331002647,444731,0.13435874426708133
United States,2020-04-09,331002647,480667,0.14521545502927655
United States,2020-04-10,331002647,515081,0.15561235073748519
United States,2020-04-11,331002647,544183,0.16440442544255546
United States,2020-04-12,331002647,571440,0.17263910279243175
United States,2020-04-13,331002647,598380,0.18077801051542647
United States,2020-04-14,331002647,627205,0.18948640008912074
United States,2020-04-15,331002647,652611,0.19716186740947722
United States,2020-04-16,331002647,682626,0.20622977072446191
United States,2020-04-17,331002647,715656,0.2162085428881782
United States,2020-04-18,331002647,743588,0.22464714609971079
United States,2020-04-19,331002647,769684,0.23253107096753819
United States,2020-04-20,331002647,799512,0.24154247926603439
United States,2020-04-21,331002647,825429,0.24937232601647441
United States,2020-04-22,331002647,854288,0.25809098741134839
United States,2020-04-23,331002647,887858,0.26823290026438973
United States,2020-04-24,331002647,920185,0.27799928741959579
United States,2020-04-25,331002647,950581,0.28718229555427094
United States,2020-04-26,331002647,977082,0.29518857593909215
United States,2020-04-27,331002647,1000785,0.30234954586329937
United States,2020-04-28,331002647,1025362,0.3097745620143032
United States,2020-04-29,331002647,1051800,0.31776180931870313
United States,2020-04-30,331002647,1081020,0.32658953328551482
United States,2020-05-01,331002647,1115946,0.33714111053619461
United States,2020-05-02,331002647,1143296,0.34540388433812136
United States,2020-05-03,331002647,1167593,0.35274430902058618
United States,2020-05-04,331002647,1191678,0.36002068587687153
United States,2020-05-05,331002647,1216209,0.36743180485804394
United States,2020-05-06,331002647,1240769,0.37485168509845784
United States,2020-05-07,331002647,1268180,0.38313288775603055
United States,2020-05-08,331002647,1295019,0.39124128212787374
United States,2020-05-09,331002647,1320155,0.39883517910356775
United States,2020-05-10,331002647,1339022,0.40453513352115278
United States,2020-05-11,331002647,1358293,0.41035714134334395
United States,2020-05-12,331002647,1381241,0.41729001641488378
United States,2020-05-13,331002647,1401649,0.42345552602182063
United States,2020-05-14,331002647,1428467,0.43155757603352335
United States,2020-05-15,331002647,1453214,0.43903395129042583
