continent,location,date,population,new_vaccinations,rolling_people_vaccinated,percent_population_vaccinated
Asia,Afghanistan,2020-03-28,38928341,,,
Asia,Afghanistan,2020-08-13,38928341,,,
Asia,Afghanistan,2020-09-30,38928341,,,
Asia,Afghanistan,2020-12-16,38928341,,,
Asia,Afghanistan,2021-04-01,38928341,,,
Europe,Albania,2020-04-23,2877800,,,
Europe,Albania,2020-05-29,2877800,,,
Europe,Albania,2020-06-06,2877800,,,
Europe,Albania,2020-10-09,2877800,,,
Europe,Albania,2020-10-27,2877800,,,
Europe,Albania,2020-11-09,2877800,,,
Europe,Albania,2021-01-07,2877800,,,
Europe,Albania,2021-01-28,2877800,,421,0.0146292
Europe,Albania,2021-01-29,2877800,,421,0.0146292
Europe,Albania,2021-04-24,2877800,8713,279418,9.7094308
Africa,Algeria,2020-03-06,43851043,,,
Africa,Algeria,2020-06-28,43851043,,,
Africa,Algeria,2020-12-14,43851043,,,
Africa,Algeria,2020-12-19,43851043,,,
Africa,Algeria,2021-03-25,43851043,,30,0.0000684
Africa,Algeria,2021-04-05,43851043,,30,0.0000684
Europe,Andorra,2020-05-30,77265,,,
Europe,Andorra,2020-06-13,77265,,,
Europe,Andorra,2020-06-15,77265,,,
Europe,Andorra,2020-08-26,77265,,,
Europe,Andorra,2020-08-30,77265,,,
Europe,Andorra,2020-08-31,77265,,,
Europe,Andorra,2020-12-11,77265,,,
Europe,Andorra,2021-01-06,77265,,,
Europe,Andorra,2021-03-02,77265,,,
Africa,Angola,2020-05-15,32866268,,,
Africa,Angola,2020-06-19,32866268,,,
Africa,Angola,2020-07-21,32866268,,,
Africa,Angola,2020-07-30,32866268,,,
Africa,Angola,2020-09-04,32866268,,,
Africa,Angola,2020-09-24,32866268,,,
Africa,Angola,2021-02-01,32866268,,,
Africa,Angola,2021-02-13,32866268,,,
Africa,Angola,2021-03-03,32866268,,,
Africa,Angola,2021-03-13,32866268,,,
Africa,Angola,2021-04-09,32866268,,,
Africa,Angola,2021-04-29,32866268,,,
North America,Anguilla,2021-04-07,15002,,1421,9.4720704
North America,Antigua and Barbuda,2020-03-29,97928,,,
North America,Antigua and Barbuda,2020-04-28,97928,,,
North America,Antigua and Barbuda,2020-05-18,97928,,,
North America,Antigua and Barbuda,2020-07-15,97928,,,
North America,Antigua and Barbuda,2020-07-21,97928,,,
North America,Antigua and Barbuda,2020-10-17,97928,,,
North America,Antigua and Barbuda,2021-02-26,97928,,,
North America,Antigua and Barbuda,2021-03-27,97928,,,
South America,Argentina,2020-01-05,45195777,,,
South America,Argentina,2020-01-21,45195777,,,
South America,Argentina,2020-07-03,45195777,,,
South America,Argentina,2020-09-22,45195777,,,
South America,Argentina,2020-10-22,45195777,,,
South America,Argentina,2020-11-03,45195777,,,
South America,Argentina,2021-01-25,45195777,363,44453,0.0983565
South America,Argentina,2021-02-20,45195777,38494,401672,0.8887379
South America,Argentina,2021-02-23,45195777,24381,441139,0.9760624
Asia,Armenia,2020-03-15,2963234,,,
Asia,Armenia,2020-03-16,2963234,,,
Asia,Armenia,2020-04-01,2963234,,,
Asia,Armenia,2020-04-04,2963234,,,
Asia,Armenia,2020-04-07,2963234,,,
Asia,Armenia,2020-04-27,2963234,,,
Asia,Armenia,2020-06-11,2963234,,,
Asia,Armenia,2020-08-17,2963234,,,
Oceania,Australia,2020-02-13,25499881,,,
Oceania,Australia,2020-05-10,25499881,,,
Oceania,Australia,2020-05-27,25499881,,,
Oceania,Australia,2020-08-07,25499881,,,
Oceania,Australia,2020-08-11,25499881,,,
Oceania,Australia,2020-10-16,25499881,,,
Europe,Austria,2020-07-23,9006400,,,
Europe,Austria,2020-07-31,9006400,,,
Europe,Austria,2020-08-23,9006400,,,
Europe,Austria,2020-11-20,9006400,,,
Europe,Austria,2020-12-11,9006400,,,
Europe,Austria,2020-12-18,9006400,,,
Europe,Austria,2021-01-21,9006400,19663,193339,2.1466846
Europe,Austria,2021-01-29,9006400,15023,252317,2.80153
Asia,Azerbaijan,2020-04-17,10139175,,,
Asia,Azerbaijan,2020-06-17,10139175,,,
Asia,Azerbaijan,2020-09-04,10139175,,,
Asia,Azerbaijan,2021-01-14,10139175,,,
Asia,Azerbaijan,2021-03-17,10139175,,42090,0.4151225
Asia,Azerbaijan,2021-04-20,10139175,14830,537937,5.3055303
North America,Bahamas,2020-04-13,393248,,,
North America,Bahamas,2020-04-18,393248,,,
North America,Bahamas,2020-04-19,393248,,,
North America,Bahamas,2020-06-19,393248,,,
North America,Bahamas,2020-08-13,393248,,,
North America,Bahamas,2020-09-30,393248,,,
North America,Bahamas,2020-10-31,393248,,,
North America,Bahamas,2020-12-27,393248,,,
North America,Bahamas,2021-04-02,393248,,6890,1.752075
Asia,Bahrain,2020-05-25,1701583,,,
Asia,Bahrain,2020-07-11,1701583,,,
Asia,Bahrain,2020-08-10,1701583,,,
Asia,Bahrain,2020-11-04,1701583,,,
Asia,Bahrain,2020-12-13,1701583,,,
Asia,Bahrain,2021-02-07,1701583,,58811,3.4562522
Asia,Bahrain,2021-02-17,1701583,,58811,3.4562522
Asia,Bahrain,2021-04-24,1701583,11844,720942,42.3689
Asia,Bangladesh,2020-03-17,164689383,,,
Asia,Bangladesh,2020-03-18,164689383,,,
Asia,Bangladesh,2020-03-25,164689383,,,
Asia,Bangladesh,2020-07-09,164689383,,,
Asia,Bangladesh,2020-08-22,164689383,,,
Asia,Bangladesh,2020-09-17,164689383,,,
Asia,Bangladesh,2021-01-05,164689383,,,
Asia,Bangladesh,2021-01-20,164689383,,,
Asia,Bangladesh,2021-01-23,164689383,,,
Asia,Bangladesh,2021-02-05,164689383,,567,0.0003443
Asia,Bangladesh,2021-04-23,164689383,,2585523,1.5699391
North America,Barbados,2020-03-27,287371,,,
North America,Barbados,2020-06-28,287371,,,
North America,Barbados,2020-10-17,287371,,,
North America,Barbados,2020-10-22,287371,,,
North America,Barbados,2020-10-25,287371,,,
North America,Barbados,2021-01-09,287371,,,
North America,Barbados,2021-01-11,287371,,,
North America,Barbados,2021-03-28,287371,,59162,20.5873244
Europe,Belarus,2020-03-10,9449321,,,
Europe,Belarus,2020-07-30,9449321,,,
Europe,Belarus,2020-09-11,9449321,,,
Europe,Belarus,2020-09-16,9449321,,,
Europe,Belarus,2020-09-23,9449321,,,
Europe,Belarus,2020-11-16,9449321,,,
Europe,Belarus,2021-01-08,9449321,,,
Europe,Belgium,2020-02-07,11589616,,,
Europe,Belgium,2020-03-11,11589616,,,
Europe,Belgium,2020-07-28,11589616,,,
Europe,Belgium,2020-09-20,11589616,,,
Europe,Belgium,2021-03-14,11589616,1413,1211670,10.4547899
